OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
1-linoleoylglycerol (1-monolinolein)	Pancreatic triacylglycerol lipase deficiency	http://www.orpha.net/ORDO/Orphanet_309031	0.392113538	glycerol measurement	http://www.ebi.ac.uk/efo/EFO_0010115	0.386424096	diacylglycerol 36:1 measurement	http://www.ebi.ac.uk/efo/EFO_0010354	0.376140469							
Acetate	acetate measurement	http://www.ebi.ac.uk/efo/EFO_0010112	0.710774781	acetoacetate measurement	http://www.ebi.ac.uk/efo/EFO_0010111	0.69847912	Tyrosinemia type 1	http://www.orpha.net/ORDO/Orphanet_882	0.512424594							
Agouti-related protein	Agouti-related protein measurement	http://www.ebi.ac.uk/efo/EFO_0008016	0.71639993	Dark agouti	http://www.ebi.ac.uk/efo/EFO_0005291	0.569613487	urinary tract infection	http://www.ebi.ac.uk/efo/EFO_0003103	0.371762145							
Alpha-(1,3)-fucosyltransferase 9	ALG6-CDG	http://www.orpha.net/ORDO/Orphanet_79320	0.621770301	ALG8-CDG	http://www.orpha.net/ORDO/Orphanet_79325	0.620963068	ALG1-CDG	http://www.orpha.net/ORDO/Orphanet_79327	0.536494407							
Alzheimer<c3><95>s disease (undefined)	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	0.79297645	familial Alzheimer disease	http://purl.obolibrary.org/obo/MONDO_0100087	0.694221509	Early-onset autosomal dominant Alzheimer disease	http://www.orpha.net/ORDO/Orphanet_1020	0.694221509							
Anti-mumps virus IgG levels	Anti-mumps virus IgG measurement	http://www.ebi.ac.uk/efo/EFO_0009356	0.672467499	Mumps virus infectious disease	http://www.ebi.ac.uk/efo/EFO_0007383	0.580553966	Mumps virus seropositivity	http://www.ebi.ac.uk/efo/EFO_0009343	0.537509927							
Apo D	GAPO syndrome	http://www.orpha.net/ORDO/Orphanet_2067	0.470603549	CLAPO syndrome	http://www.orpha.net/ORDO/Orphanet_168984	0.469709443	SPO	http://www.ebi.ac.uk/efo/EFO_0007033	0.458734385							
Arrestin domain-containing protein 3	CUB domain containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010776	0.646478433	OCIA domain-containing protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0008252	0.603310123	thioredoxin domain-containing protein 12 measurement	http://www.ebi.ac.uk/efo/EFO_0008298	0.545166159							
Benign neoplasm of breast (all cancers excluded)	breast benign neoplasm	http://purl.obolibrary.org/obo/MONDO_0000620	0.990692775	benign neoplasm	http://www.ebi.ac.uk/efo/EFO_0002422	0.81437562	breast neoplasm	http://www.ebi.ac.uk/efo/EFO_0003869	0.81145474							
Beta-defensin 113	insulinoma	http://www.ebi.ac.uk/efo/EFO_0000549	0.308307211	Hereditary central diabetes insipidus	http://www.orpha.net/ORDO/Orphanet_30925	0.261768496	interferon beta	http://www.ebi.ac.uk/efo/EFO_0003023	0.261309598							
