OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
Adrenate (22:4n6)	adrenal gland neoplasm	http://www.ebi.ac.uk/efo/EFO_0003850	0.668738933	adrenocortical adenoma	http://www.ebi.ac.uk/efo/EFO_0003104	0.662376895	adrenal gland cancer	http://purl.obolibrary.org/obo/MONDO_0002817	0.63690782							
Alpha-2-HS-glycoprotein	Glycoproteinosis	http://www.orpha.net/ORDO/Orphanet_309279	0.606363106	glycoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004555	0.550710394	Bleeding diathesis due to glycoprotein VI deficiency	http://www.orpha.net/ORDO/Orphanet_98885	0.511985702							
Amyotrophic lateral sclerosis	amyotrophic lateral sclerosis	http://www.ebi.ac.uk/efo/EFO_0000253	0.993856003	Amyotrophic lateral sclerosis type 4	http://www.orpha.net/ORDO/Orphanet_357043	0.961108445	familial amyotrophic lateral sclerosis	http://www.ebi.ac.uk/efo/EFO_0001356	0.891806441							
Benign neoplasm: Ascending colon (all cancers excluded)	benign colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0002278	0.795060763	benign neoplasm	http://www.ebi.ac.uk/efo/EFO_0002422	0.677049317	Ascending Colon Neuroendocrine Tumor G1	http://www.ebi.ac.uk/efo/EFO_1000094	0.640788259							
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	emphysema	http://www.ebi.ac.uk/efo/EFO_0000464	0.41491406	dermatitis	http://purl.obolibrary.org/obo/MONDO_0002406	0.379408091	atopic eczema	http://www.ebi.ac.uk/efo/EFO_0000274	0.379408091							
Bullous disorders	disease	http://www.ebi.ac.uk/efo/EFO_0000408	0.605529656	bullous pemphigoid	http://www.ebi.ac.uk/efo/EFO_0007187	0.584656611	Epidermolytic ichthyosis	http://www.orpha.net/ORDO/Orphanet_312	0.505132888							
Carbonic anhydrase III	carbonic anhydrase 2	http://www.ebi.ac.uk/efo/EFO_0010161	0.856114786	Osteopetrosis with renal tubular acidosis	http://www.orpha.net/ORDO/Orphanet_2785	0.848919091	carbonic anhydrase 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008068	0.73829093							
Carcinoembryonic antigen-related cell adhesion molecule 21	serum carcinoembryonic antigen measurement	http://www.ebi.ac.uk/efo/EFO_0005760	0.595796185	adhesion factor	http://www.ebi.ac.uk/efo/EFO_0004521	0.521222505	embryonal carcinoma cell	http://www.ebi.ac.uk/efo/EFO_0004987	0.493911854							
CD16 on CD14+ CD16+ monocyte	autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity	http://purl.obolibrary.org/obo/MONDO_0014313	0.671380236	CD1 mus strain	http://www.ebi.ac.uk/efo/EFO_0005180	0.35279764	Familial dilated cardiomyopathy with conduction defect due to LMNA mutation	http://www.orpha.net/ORDO/Orphanet_300751	0.347287354							
CD25 on activated CD4 regulatory T cell	CCL5 measurement	http://www.ebi.ac.uk/efo/EFO_0005117	0.485927577	CCL17 measurement	http://www.ebi.ac.uk/efo/EFO_0009414	0.392633627	Mastocytosis	http://www.ebi.ac.uk/efo/EFO_0009001	0.38099005							
CD25++ CD8+ T cell %CD8+ T cell	T-Cell Prolymphocytic Leukemia	http://www.ebi.ac.uk/efo/EFO_1000560	0.473924332	Susceptibility to respiratory infections associated with CD8alpha chain mutation	http://www.orpha.net/ORDO/Orphanet_169085	0.441457904	T-cell non-Hodgkin lymphoma	http://purl.obolibrary.org/obo/MONDO_0015760	0.415852601							
CD27 on CD4 T	Autosomal recessive lymphoproliferative disease	http://www.orpha.net/ORDO/Orphanet_238505	0.650861544	CD27 antigen measurement	http://www.ebi.ac.uk/efo/EFO_0008078	0.539363608	CD40 measurement	http://www.ebi.ac.uk/efo/EFO_0010586	0.370620933							
CD4-CD8- T cell Absolute Count	Plasma Cell Count	http://www.ebi.ac.uk/efo/EFO_0009248	0.42633198	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	0.407571031	complete blood cell count	http://www.ebi.ac.uk/efo/EFO_0004586	0.390646898							
Cereal type: Bran cereal (e.g. All Bran, Branflakes)	X-linked creatine transporter deficiency	http://www.orpha.net/ORDO/Orphanet_52503	0.391337241	Guanidinoacetate methyltransferase deficiency	http://www.orpha.net/ORDO/Orphanet_382	0.390701956	Arginine:glycine amidinotransferase deficiency	http://www.orpha.net/ORDO/Orphanet_35704	0.388760076							
Coagulation Factor IX	coagulation protein disease	http://purl.obolibrary.org/obo/MONDO_0002242	0.740374692	coagulation factor measurement	http://www.ebi.ac.uk/efo/EFO_0004634	0.725623377	protein C measurement	http://www.ebi.ac.uk/efo/EFO_0004633	0.688729658							
Complement C1q tumor necrosis factor-related protein 1	tumor necrosis factor measurement	http://www.ebi.ac.uk/efo/EFO_0010834	0.612259258	tumor necrosis factor receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010931	0.577669838	complement factor H-related protein 5 measurement	http://www.ebi.ac.uk/efo/EFO_0008098	0.562537537							
Contactin-associated protein 1	VACTERL/VATER association	http://www.orpha.net/ORDO/Orphanet_887	0.499528651	virus associated tumor	http://purl.obolibrary.org/obo/MONDO_0017341	0.495724318	death-associated protein kinase 2 measurement	http://www.ebi.ac.uk/efo/EFO_0008107	0.484447894							
