EFO_url	EFO_value	cosine_distance	GWAS_trait	GWAS_ID
http://purl.obolibrary.org/obo/CHEBI_36080	protein	0.9679741	Protein FAM150B	prot-a-1024
http://purl.obolibrary.org/obo/CHEBI_8551	Protein N6,N6,N6-trimethyl-L-lysine	0.9679741	Protein FAM150B	prot-a-1024
http://www.ebi.ac.uk/efo/EFO_0008309	tumor necrosis factor receptor superfamily member 19L measurement	0.9379839000000001	Tumor necrosis factor receptor superfamily member 21	prot-a-3050
http://www.ebi.ac.uk/efo/EFO_0008310	tumor necrosis factor receptor superfamily member EDAR measurement	0.9089413	Tumor necrosis factor receptor superfamily member 21	prot-a-3050
http://www.ebi.ac.uk/efo/EFO_0004343	waist-hip ratio	0.7752124	Waist-to-hip ratio	ieu-a-77
http://www.ebi.ac.uk/efo/EFO_0007788	BMI-adjusted waist-hip ratio	0.7221397	Waist-to-hip ratio	ieu-a-77
http://www.ebi.ac.uk/efo/EFO_0008252	OCIA domain-containing protein 1 measurement	0.7416204	EH domain-containing protein 4	prot-a-912
http://purl.obolibrary.org/obo/UBERON_0001155	colon	0.7053627	Operation code: rectal or colon polypectomy	ukb-b-19438
http://www.ebi.ac.uk/efo/EFO_0008309	tumor necrosis factor receptor superfamily member 19L measurement	0.9034023	Tumor necrosis factor receptor superfamily member 1B	prot-a-3047
http://www.ebi.ac.uk/efo/EFO_0008310	tumor necrosis factor receptor superfamily member EDAR measurement	0.874044	Tumor necrosis factor receptor superfamily member 1B	prot-a-3047
http://www.ebi.ac.uk/efo/EFO_0004326	heart rate	1.0	Heart rate	ieu-a-1056
http://www.ebi.ac.uk/efo/EFO_0004351	resting heart rate	0.8333957999999999	Heart rate	ieu-a-1056
http://www.ebi.ac.uk/efo/EFO_0010151	soluble triggering receptor expressed on myeloid cells 2 measurement	0.8903433999999999	Triggering receptor expressed on myeloid cells 1	prot-a-3098
http://www.ebi.ac.uk/efo/EFO_0007704	depressive episode measurement	0.7545710999999999	Diagnoses - secondary ICD10: F32.9 Depressive episode, unspecified	ukb-b-20045
http://www.ebi.ac.uk/efo/EFO_0007634	major depressive episode	0.7446773	Diagnoses - secondary ICD10: F32.9 Depressive episode, unspecified	ukb-b-20045
http://purl.obolibrary.org/obo/UBERON_0002116	ileum	1.0	Operative procedures - secondary OPCS: Z27.6 Ileum	ukb-b-13864
http://www.ebi.ac.uk/efo/EFO_0005185	terminal ileum	0.8282396000000001	Operative procedures - secondary OPCS: Z27.6 Ileum	ukb-b-13864
http://www.ebi.ac.uk/efo/EFO_0008129	fibroblast growth factor 2 measurement	0.7856662000000001	Fibroblast growth factor 16	prot-a-1090
http://www.ebi.ac.uk/efo/EFO_0009381	fibroblast growth factor 23 measurement	0.7638655000000001	Fibroblast growth factor 16	prot-a-1090
http://www.ebi.ac.uk/efo/EFO_0003316	basic fibroblast growth factor	0.756596	Fibroblast growth factor 16	prot-a-1090
http://www.ebi.ac.uk/efo/EFO_0008130	fibroblast growth factor basic measurement	0.7562838000000001	Fibroblast growth factor 16	prot-a-1090
http://purl.obolibrary.org/obo/CHEBI_39548	atorvastatin	1.0	Treatment/medication code: atorvastatin	ukb-b-10008
http://www.ebi.ac.uk/efo/EFO_0010124	response to atorvastatin	0.8118145000000001	Treatment/medication code: atorvastatin	ukb-b-10008
http://purl.obolibrary.org/obo/CHEBI_9150	simvastatin	0.7400812999999999	Treatment/medication code: atorvastatin	ukb-b-10008
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	0.7764644999999999	Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis]	ukb-a-552
http://purl.obolibrary.org/obo/MONDO_0043579	enteritis	0.7658100000000001	Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis]	ukb-a-552
http://www.ebi.ac.uk/efo/EFO_0005629	small bowel Crohn's disease	0.7055887999999999	Diagnoses - main ICD10: K50 Crohn's disease [regional enteritis]	ukb-a-552
http://www.ebi.ac.uk/efo/EFO_0008583	acute myocardial infarction	0.7833114999999999	Diagnoses - main ICD10: I21.9 Acute myocardial infarction, unspecified	ukb-b-3469
http://www.ebi.ac.uk/efo/EFO_0000493	family history	0.7922469000000001	Family history of Alzheimer's disease	ebi-a-GCST005921
http://www.ebi.ac.uk/efo/EFO_0009268	family history of Alzheimer’s disease	0.7434601999999999	Family history of Alzheimer's disease	ebi-a-GCST005921
http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease	0.7201457	Family history of Alzheimer's disease	ebi-a-GCST005921
http://purl.obolibrary.org/obo/CHEBI_50276	topoisomerase I inhibitor	0.7088367	DNA topoisomerase 1	prot-a-3074
http://purl.obolibrary.org/obo/MONDO_0001187	urinary bladder cancer	0.8548617000000001	Cancer code, self-reported: bladder cancer	ukb-b-8193
http://www.ebi.ac.uk/efo/EFO_0000311	cancer	0.8080186	Cancer code, self-reported: bladder cancer	ukb-b-8193
http://www.ebi.ac.uk/efo/EFO_0000292	bladder carcinoma	0.7533046999999999	Cancer code, self-reported: bladder cancer	ukb-b-8193
http://www.ebi.ac.uk/efo/EFO_0003913	angina pectoris	0.8261293000000001	Diagnoses - main ICD10: I20.9 Angina pectoris, unspecified	ukb-b-14206
http://purl.obolibrary.org/obo/CHEBI_50862	azinomycin B	0.8458197000000001	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	prot-a-1894
http://www.ebi.ac.uk/efo/EFO_0004465	fasting blood glucose measurement	0.8828210000000001	Fasting blood glucose	ebi-a-GCST005186
http://www.ebi.ac.uk/efo/EFO_0008036	BMI-adjusted fasting blood glucose measurement	0.8606921000000001	Fasting blood glucose	ebi-a-GCST005186
http://www.ebi.ac.uk/efo/EFO_0010120	fasting blood glucose change measurement	0.8024988	Fasting blood glucose	ebi-a-GCST005186
http://www.ebi.ac.uk/efo/EFO_0008288	small nuclear ribonucleoprotein F measurement	0.7204993	Heterogeneous nuclear ribonucleoprotein D-like	prot-a-1365
http://www.ebi.ac.uk/efo/EFO_0008309	tumor necrosis factor receptor superfamily member 19L measurement	0.9050769999999999	Tumor necrosis factor receptor superfamily member 1A	prot-a-3046
http://www.ebi.ac.uk/efo/EFO_0008310	tumor necrosis factor receptor superfamily member EDAR measurement	0.8784934	Tumor necrosis factor receptor superfamily member 1A	prot-a-3046
http://www.ebi.ac.uk/efo/EFO_0007929	triglyceride:HDL cholesterol ratio	0.8102118	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://www.ebi.ac.uk/efo/EFO_0008589	esterified cholesterol measurement	0.7687272999999999	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://www.ebi.ac.uk/efo/EFO_0007931	non-HDL cholesterol:HDL cholesterol ratio	0.7516217000000001	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	0.7251344	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://www.ebi.ac.uk/efo/EFO_0008591	free cholesterol measurement	0.7208091000000001	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://www.ebi.ac.uk/efo/EFO_0005688	NHDL cholesterol	0.7027148999999999	Free cholesterol to esterified cholesterol ratio	ieu-a-853
http://purl.obolibrary.org/obo/MONDO_0021107	narcolepsy	1.0	Narcolepsy	ebi-a-GCST005522
