OpenGWAS.Trait	Tool.Mapping..1	Identifier1	Score1	Tool.Mapping..2	Identifier2	Score2	Tool.Mapping..3	Identifier3	Score3	exact mapping	broad mapping	narrow mapping	incorrect	Exact	non-EFO	comments
1-arachidonoylglycerophosphocholine*	glycerophosphocholine measurement	http://www.ebi.ac.uk/efo/EFO_0010489	0.594441072	glycerophospholipid measurement	http://www.ebi.ac.uk/efo/EFO_0007630	0.435044607	arachidonic acid measurement	http://www.ebi.ac.uk/efo/EFO_0006808	0.350763635							
3-phenylpropionate (hydrocinnamate)	Phenylketonuria	http://www.orpha.net/ORDO/Orphanet_716	0.374181362	entropion (disease)	http://purl.obolibrary.org/obo/MONDO_0001519	0.363147888	Hyperphenylalaninemia	http://www.orpha.net/ORDO/Orphanet_238583	0.352446078							
3mm weak meridian (left)	Retrognathia	http://purl.obolibrary.org/obo/HP_0000278	0.486524537	heart failure	http://www.ebi.ac.uk/efo/EFO_0003144	0.469802557	congestive heart failure	http://www.ebi.ac.uk/efo/EFO_0000373	0.469802557							
Age at hysterectomy	hysterectomy	http://www.ebi.ac.uk/efo/EFO_0003881	0.834406042	age	http://www.ebi.ac.uk/efo/EFO_0000246	0.409736895	age at death	http://www.ebi.ac.uk/efo/EFO_0005056	0.404553986							
Age when last ate meat	age at death	http://www.ebi.ac.uk/efo/EFO_0005056	0.493856104	age at last pregnancy measurement	http://www.ebi.ac.uk/efo/EFO_0009440	0.485585651	age	http://www.ebi.ac.uk/efo/EFO_0000246	0.422561688							
Alcohol dehydrogenase [NADP(+)]	alcohol dehydrogenase [NADP+] measurement	http://www.ebi.ac.uk/efo/EFO_0008017	0.614496279	Glycogen storage disease due to lactate dehydrogenase M-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284426	0.569774376	Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency	http://www.orpha.net/ORDO/Orphanet_284435	0.566400721							
Alcohol usually taken with meals	alcohol use disorder measurement	http://www.ebi.ac.uk/efo/EFO_0009458	0.4344467	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	0.39420846	alcohol withdrawal	http://www.ebi.ac.uk/efo/EFO_0004777	0.384788397							
Anti-Epstein-Barr virus viral capsid antigen (VCA) IgG levels	Epstein Barr viral capsid antigen IgG measurement	http://www.ebi.ac.uk/efo/EFO_0009274	0.803311504	Epstein Barr viral capsid antigen seropositivity	http://www.ebi.ac.uk/efo/EFO_0009272	0.704648396	Epstein Barr virus nuclear antigen 1 IgG measurement	http://www.ebi.ac.uk/efo/EFO_0007790	0.659374213							
Apple intake	Atresia of small intestine	http://www.orpha.net/ORDO/Orphanet_1201	0.493199643	energy intake	http://www.ebi.ac.uk/efo/EFO_0003939	0.46066416	fat intake measurement	http://www.ebi.ac.uk/efo/EFO_0010809	0.406641778							
Arm predicted mass (right)	classifier prediction	http://www.ebi.ac.uk/efo/EFO_0000347	0.402821019	MASS syndrome	http://purl.obolibrary.org/obo/MONDO_0011431	0.36037373	tumor mass	http://www.ebi.ac.uk/efo/EFO_0007062	0.359556057							
