PROPERTY TYPE,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S),keep
,3mm asymmetry index (right),facial asymmetry measurement,Good,EFO_0009751,
,Body mass index (BMI),body mass index,High,EFO_0004340,1
,Leg fat percentage (left),body fat percentage,Good,EFO_0007800,1
treatment,calcium+vitamin d 500units tablet,vitamin D deficiency,Good,EFO_0003762,1
disease,Other anaemias,anemia (phenotype),High,EFO_0004272,1
,Pizza intake,energy intake,Medium,EFO_0003939,1
,Pizza intake,fish consumption measurement,Medium,EFO_0010139,
,Yogurt/ice-cream consumers,ICE,Good,EFO_0008773,
,Trunk predicted mass,mass,Medium,mass,1
,Trunk predicted mass,mass,Medium,PATO_0000125,
,Mouth/teeth dental problems: Mouth ulcers,xerostomia,Good,EFO_0009869,
disease,"Complications of procedures, not elsewhere classified",complication,High,EFO_0009518,1
,PCT responsible for patient data: WAKEFIELD DISTRICT PCT,platelet crit,Good,EFO_0007985,
,PCT where patients GP was registered: NORTH BRADFORD PCT,platelet crit,Good,EFO_0007985,
treatment,ferrous sulphate,dehydroepiandrosterone sulphate measurement,Good,EFO_0007001,
,Red blood cell (erythrocyte) distribution width,Red cell distribution width,Good,EFO_0009188,1
,Number of correct matches in round,increased amount,Medium,PATO_0000470,
,Number of correct matches in round,Immunodeficiency with severe reduction in serum IgG and IgA with normal/elevated IgM and normal number of B-cells,Medium,Orphanet_331240,
disease,"Personal history of allergy, other than to drugs and biological substances",N/A,Did not map,N/A,
,DVT of lower extremities,Distal sensory impairment,Medium,HP_0002936,
,DVT of lower extremities,Impaired vibration sensation in the lower limbs,Medium,HP_0002166,
,Ever self-harmed,number of children ever born measurement,Medium,EFO_0009102,
,Ever self-harmed,self vs self design,Medium,EFO_0001777,
disease,Disorders of lachrymal system,digestive system disease,Good,EFO_0000405,
,"Non-cancer illness code, self-reported: urinary tract infection/kidney infection",urinary tract infection,Medium,EFO_0003103,
,"Non-cancer illness code, self-reported: urinary tract infection/kidney infection",susceptibility to urinary tract infection measurement,Medium,EFO_0008413,
,"Cancer code, self-reported: basal cell carcinoma",basal cell carcinoma,Good,EFO_0004193,
,Shortness of breath walking on level ground,shortness of breath,High,EFO_0009727,
treatment,sinus surgery,prophylactic surgery,Good,EFO_0009580,
,Milk type used: Soya,milk allergic reaction,Good,EFO_0007369,
,Other enthesopathies,enthesopathy,High,EFO_0009666,
,Falls in the last year,fall,High,EFO_0009631,
,Cooked vegetable intake,energy intake,Medium,EFO_0003939,
,Cooked vegetable intake,fish consumption measurement,Medium,EFO_0010139,
,ILD differential diagnosis,Genetic interstitial lung disease,Medium,Orphanet_264992,
,ILD differential diagnosis,interstitial lung disease specific to adulthood,Medium,MONDO_0017026,
treatment,throat/larynx surgery (incl tracheostomy),throat disease,Medium,EFO_0009479,
treatment,throat/larynx surgery (incl tracheostomy),prophylactic surgery,Medium,EFO_0009580,
disease,Irritable bowel syndrome without diarrhoea,irritable bowel syndrome,Good,EFO_0000555,
,Spinach intake,energy intake,Good,EFO_0003939,
disease,"Tachycardia, unspecified",atrial tachycardia,Medium,EFO_0005308,
disease,"Tachycardia, unspecified",ventricular tachycardia,Medium,EFO_0005306,
,Eye problems/disorders: Other serious eye condition,eye,Medium,UBERON_0000970,
,Eye problems/disorders: Other serious eye condition,eye infectious disease,Medium,MONDO_0043885,
disease,Shoulder lesions,soft tissue disease,High,EFO_0009470,
,PCT responsible for patient data: ROTHERHAM PCT,platelet crit,Good,EFO_0007985,
treatment,levothyroxine sodium,sodium chloride regimen,Good,EO_0007048,
disease,Follow-up examination after surgery for malignant neoplasm,neoplasm,Good,EFO_0000616,
,Chest pain felt outside physical activity,Chest pain,High,HP_0100749,
,Non-cancer illness code  self-reported: hypertrophic cardiomyopathy (hcm / hocm),hypertrophic cardiomyopathy,Good,EFO_0000538,
,"Tinnitus: Yes, now a lot of the time",survival time,Good,EFO_0000714,
,Time spent driving,time,Good,EFO_0000721,
disease,Gonarthrosis [arthrosis of knee],"osteoarthritis, knee",Good,EFO_0004616,
,Arm predicted mass (right),arm,Medium,UBERON_0001460,
,Arm predicted mass (right),mass,Medium,PATO_0000125,
,"Medication for pain relief, constipation, heartburn: Laxatives (e.g. Dulcolax, Senokot)",pain agnosia,Good,EFO_1001484,
,Intake of artificial sweetener added to coffee,renal dialysis,Good,EFO_0010690,
,"Non-cancer illness code, self-reported: trapped nerve/compressed nerve",nerve compression syndrome,Medium,EFO_0009487,
,"Non-cancer illness code, self-reported: trapped nerve/compressed nerve","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,Vitamin and/or mineral supplement use: Vitamin B6,vitamin supplement exposure measurement,Medium,EFO_0009116,
,Vitamin and/or mineral supplement use: Vitamin B6,vitamin B6 measurement,Medium,EFO_0004621,
disease,Adhesive capsulitis of shoulder,frozen shoulder,Good,EFO_1000941,
disease,Anal abscess,Rectal abscess,Good,HP_0005224,
,Duration of fitness test,duration,Medium,EFO_0000433,
,Duration of fitness test,sleep duration,Medium,EFO_0005271,
,Dried fruit intake,energy intake,Medium,EFO_0003939,
,Dried fruit intake,fish consumption measurement,Medium,EFO_0010139,
treatment,ezetimibe,C1842722,Good,C1842722,
,FI5 : family relationship calculation,family relationship,Medium,EFO_0004424,
,FI5 : family relationship calculation,relationship,Medium,EFO_0000824,
,Diseases of the eye and adnexa,eye adnexa disease,Good,EFO_0009546,
disease,Unspecified place,unspecified juvenile idiopathic arthritis,Good,EFO_0009734,
disease,Abnormal weight loss,hearing loss,Good,EFO_0004238,
disease,Atrial fibrillation and flutter,atrial fibrillation,High,EFO_0000275,
disease,Follow-up examination after unspecified treatment for other conditions,respiratory system disease,Medium,EFO_0000684,
disease,Follow-up examination after unspecified treatment for other conditions,anthrax infection,Medium,EFO_0000778,
,PCT where patients GP was registered: NORTHUMBERLAND CARE TRUST,platelet crit,Good,EFO_0007985,
,Had other major operations,"number of operations, self-reported",Good,EFO_0009802,
,Time spent doing light physical activity,physical activity,Medium,EFO_0003940,
,Time spent doing light physical activity,physical activity measurement,Medium,EFO_0008002,
,Other vegetables intake,energy intake,Medium,EFO_0003939,
,Other vegetables intake,fish consumption measurement,Medium,EFO_0010139,
disease,Lumbar intervertebral joint,lumbar disc degeneration,Medium,EFO_0004994,
disease,Lumbar intervertebral joint,vertebral joint disease,Medium,EFO_0009477,
,Alcohol usually taken with meals,alcohol withdrawal delirium,Medium,EFO_1000800,
,Alcohol usually taken with meals,alcohol drinking,Medium,EFO_0004329,
disease,Haematemesis,N/A,Did not map,N/A,
disease,Flatulence and related conditions,flatulence,High,EFO_0009669,
,"Job coding: higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",job satisfaction measurement,Medium,EFO_0009723,
,"Job coding: higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",job-related exhaustion measurement,Medium,EFO_0007881,
,Colorectal surgery,prophylactic surgery,Medium,EFO_0009580,
,Colorectal surgery,colorectal adenocarcinoma,Medium,EFO_0000365,
,Non-cancer illness code  self-reported: hiatus hernia,"number of non-cancer illnesses, self-reported",Good,EFO_0009801,
disease,Endoscopic resection of prostate NEC,Prostate Small Cell Carcinoma,Good,EFO_1000499,
,Number of things worried about during worst period of anxiety,period of infection,Medium,EFO_0000648,
,Number of things worried about during worst period of anxiety,number of injections,Medium,EFO_0000627,
,PCT where patients GP was registered: SOUTH LIVERPOOL PCT,platelet crit,Good,EFO_0007985,
,Average weekly red wine intake,red wine liking measurement,Medium,EFO_0006947,
,Average weekly red wine intake,energy intake,Medium,EFO_0003939,
,PCT where patients GP was registered: HOUNSLOW PCT,platelet crit,Good,EFO_0007985,
,"Worked with paints, thinners or glues: Often",Exercise-induced rhabdomyolysis,Medium,HP_0009045,
,"Worked with paints, thinners or glues: Often",Rare disease with autism,Medium,Orphanet_180772,
,"Job coding: it strategy or planning professional, computer consultant, software consultant",consultant,Good,EFO_0001732,
treatment,iron product,limited iron regimen,Good,EO_0001047,
,"Non-cancer illness code, self-reported: arthritis (nos)","number of non-cancer illnesses, self-reported",Medium,EFO_0009801,
,"Non-cancer illness code, self-reported: arthritis (nos)",rheumatoid arthritis,Medium,EFO_0000685,
,Frequency of depressed mood in last 2 weeks,emotional symptom measurement,High,EFO_0007803,
,Fat,high fat diet,Medium,EFO_0002757,
,Fat,visceral adipose tissue measurement,Medium,EFO_0004765,
,Fat,adipose tissue of abdominal region,Medium,UBERON_0007808,
disease,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,Recurrent thrombophlebitis,Good,HP_0004419,
,Age started oral contraceptive pill,contraception,Medium,EFO_0009520,
,Age started oral contraceptive pill,age,Medium,EFO_0000246,
,Type milk consumed: skimmed,milk allergic reaction,Good,EFO_0007369,
,Main speciality of consultant (recoded): Medical oncology,consultant,Medium,EFO_0001732,
,Main speciality of consultant (recoded): Medical oncology,fear of medical pain measurement,Medium,EFO_0008339,
treatment,perindopril,N/A,Did not map,N/A,
,"Other or unspecified ileus, impaction or obstruction",Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,Medium,Orphanet_314376,
,"Other or unspecified ileus, impaction or obstruction",ileus,Medium,MONDO_0004567,
